kode,kategori,nama
1218172010,Kelurahan,Bintang Bayu
1218172011,Kelurahan,Bandar Pinang Kebun
1218172012,Kelurahan,Damak Tolong Buho
1218172013,Kelurahan,Bandar Pinang Rambe
1218172014,Kelurahan,Pegajahan Kahan
1218172015,Kelurahan,Huta Durian
1218172016,Kelurahan,Kampung Kristen
1218172017,Kelurahan,Sarang Ginting Kahan
1218172018,Kelurahan,Sarang Ginting Hulu
1218172019,Kelurahan,Siahap
1219,Kota Kabupaten,Kab. Batu Bara
121901,Kecamatan,Medang Deras
1219011001,Kelurahan,Pangkalan Dodek
1219011002,Kelurahan,Pangkalan Dodek Baru
1219011021,Kelurahan,Pagurawan
1219012003,Kelurahan,Aek Nauli
1219012004,Kelurahan,Durian
1219012005,Kelurahan,Lalang
1219012006,Kelurahan,Medang
1219012007,Kelurahan,Pakam
1219012008,Kelurahan,Pakam Raya
1219012009,Kelurahan,Pematang Cengkering
1219012010,Kelurahan,Sei Buah Keras
1219012011,Kelurahan,Sei Rakyat
1219012012,Kelurahan,Sidomulyo
1219012013,Kelurahan,Tanjung Sigoni
1219012014,Kelurahan,Nenas Siam
1219012015,Kelurahan,Pakam Raya Selatan
1219012016,Kelurahan,Mandarsah
1219012017,Kelurahan,Medang Baru
1219012018,Kelurahan,Pematang Nibung
1219012019,Kelurahan,Cengkering Pekan
1219012020,Kelurahan,Sei Raja
121902,Kecamatan,Sei Suka
1219021001,Kelurahan,Perkebunan Sipare Pare
1219022007,Kelurahan,Sei Suka Deras
1219022008,Kelurahan,Simodong
1219022009,Kelurahan,Pematang Jering
1219022010,Kelurahan,Pematang Kuning
1219022011,Kelurahan,Kuala Indah
1219022012,Kelurahan,Kuala Tanjung
1219022018,Kelurahan,Tanjunggading
1219022019,Kelurahan,Simpang Kopi
1219022020,Kelurahan,Brohol
121903,Kecamatan,Air Putih
1219031001,Kelurahan,Indrapura
1219031019,Kelurahan,Indrasakti
1219032002,Kelurahan,Limau Sundai
1219032003,Kelurahan,Pematang Panjang
1219032004,Kelurahan,Sukaraja
1219032005,Kelurahan,Tanah Tinggi
1219032006,Kelurahan,Tanjungmuda
1219032007,Kelurahan,Tanah Merah
1219032008,Kelurahan,Aras
1219032009,Kelurahan,Pasar Lapan
1219032010,Kelurahan,Sipare-pare
1219032011,Kelurahan,Tanjungkubah
1219032012,Kelurahan,Tanjungharapan
1219032013,Kelurahan,Suka Ramai
1219032014,Kelurahan,Tanah Rendah
1219032015,Kelurahan,Tanjungmulya
1219032016,Kelurahan,Titi Payung
1219032017,Kelurahan,Perkotaan
1219032018,Kelurahan,Kampung Kelapa
121904,Kecamatan,Lima Puluh
1219041001,Kelurahan,Lima Puluh Kota
1219042011,Kelurahan,Mangkai Baru
1219042012,Kelurahan,Mangkai Lama
1219042014,Kelurahan,Perkebunan Dolok
1219042015,Kelurahan,Perk. Kw. Gunung
1219042016,Kelurahan,Antara
1219042017,Kelurahan,Perk. Lima Puluh
1219042018,Kelurahan,Perk. Limau Manis
1219042019,Kelurahan,Perk. Tanah Gambus
1219042025,Kelurahan,Simpang Gambus
1219042026,Kelurahan,Sumber Makmur
1219042027,Kelurahan,Sumber Padi
121905,Kecamatan,Talawi
1219051001,Kelurahan,Labuhan Ruku
1219052004,Kelurahan,Dahari Silebar
1219052006,Kelurahan,Mesjid Lama
1219052007,Kelurahan,Padang Genting
1219052008,Kelurahan,Pahang
1219052009,Kelurahan,Panjang
1219052014,Kelurahan,Gunungrante
1219052015,Kelurahan,Dahari Indah
1219052016,Kelurahan,Indra Yaman
1219052017,Kelurahan,Benteng
121906,Kecamatan,Tanjung Tiram
1219061001,Kelurahan,Tanjungtiram
1219061022,Kelurahan,Bagan Arya
1219062002,Kelurahan,Guntung
1219062004,Kelurahan,Bagan Dalam
1219062005,Kelurahan,Bogak
1219062006,Kelurahan,Suka Maju
1219062016,Kelurahan,Suka Jaya
1219062017,Kelurahan,Pahlawan
1219062018,Kelurahan,Bandar Rahmat
1219062019,Kelurahan,Kampung Lalang
121907,Kecamatan,Sei Balai
1219072001,Kelurahan,Kwala Sikasim
1219072002,Kelurahan,Sei Balai
1219072004,Kelurahan,Durian
1219072005,Kelurahan,Perkebunan Sei Balai
1219072007,Kelurahan,Suka Ramai
1219072008,Kelurahan,Sei Bejangkar
1219072009,Kelurahan,Mekar Mulio
1219072010,Kelurahan,Perkebunan Sei Bejangkar
1219072012,Kelurahan,Benteng Jaya
1219072013,Kelurahan,Tanah Timbul
1219072014,Kelurahan,Perjuangan
1219072015,Kelurahan,Sidomulio
1219072016,Kelurahan,Mekar Baru
1219072017,Kelurahan,Suko Rejo
121908,Kecamatan,Laut Tador
1219082001,Kelurahan,Tanjung Parapat
1219082002,Kelurahan,Laut Tador
1219082003,Kelurahan,Pelanggiran Laut Tador
1219082004,Kelurahan,Perkebunan Tanjung Kasau
1219082005,Kelurahan,Dewi Sri
1219082006,Kelurahan,Tanjung Kasau
1219082007,Kelurahan,Tanjung Seri
1219082008,Kelurahan,Mekar Sari
1219082009,Kelurahan,Sei Simujur
1219082010,Kelurahan,Kandangan
121909,Kecamatan,Lima Puluh Pesisir
1219092001,Kelurahan,Gambus Laut
1219092002,Kelurahan,Perupuk
1219092003,Kelurahan,Guntung
1219092004,Kelurahan,Barung-Barung
1219092005,Kelurahan,Titi Putih
1219092006,Kelurahan,Pasir Permit
1219092007,Kelurahan,Titi Merah
1219092008,Kelurahan,Pematang Panjang
1219092009,Kelurahan,Bulan-Bulan
1219092010,Kelurahan,Gunung Bandung
1219092011,Kelurahan,Lubuk Cuik
1219092012,Kelurahan,Tanah Itam Ilir
1219092013,Kelurahan,Pematang Tengah
121910,Kecamatan,Datuk Lima Puluh
1219102001,Kelurahan,Perkebunan Tanah Itam Ulu
1219102002,Kelurahan,Empat Negeri
1219102003,Kelurahan,Sumber Rejo
1219102004,Kelurahan,Lubuk Hulu
1219102005,Kelurahan,Lubuk Besar
1219102006,Kelurahan,Pulau Sejuk
1219102007,Kelurahan,Simpang Dolok
1219102008,Kelurahan,Air Hitam
1219102009,Kelurahan,Kwala Gunung
1219102010,Kelurahan,Cahaya Pardomuan
121911,Kecamatan,Datuk Tanah Datar
1219112001,Kelurahan,Sumber Tani
1219112002,Kelurahan,Sei Muka
1219112003,Kelurahan,Perkebunan Tanah Datar
1219112004,Kelurahan,Binjai Baru
1219112005,Kelurahan,Bangun Sari
1219112006,Kelurahan,Karang Baru
1219112007,Kelurahan,Perkebunan Petatal
1219112008,Kelurahan,Mekar Baru
1219112009,Kelurahan,Petatal
1219112010,Kelurahan,Glugur Makmur
121912,Kecamatan,Nibung Hangus
1219122001,Kelurahan,Sentang
1219122002,Kelurahan,Tanjung Mulia
1219122003,Kelurahan,Jati Mulia
1219122004,Kelurahan,Lima Laras
1219122005,Kelurahan,Mekar Laras
1219122006,Kelurahan,Bandar Sono
1219122007,Kelurahan,Ujung Kubu
1219122008,Kelurahan,Sei Mentaram
1219122009,Kelurahan,Pematang Rambe
1219122010,Kelurahan,Tali Air Permai
1219122011,Kelurahan,Bagan Baru
1219122012,Kelurahan,Kapal Merah
1220,Kota Kabupaten,Kab. Padang Lawas Utara
122001,Kecamatan,Dolok Sigompulon
1220012001,Kelurahan,Janji Manahan GNT
1220012002,Kelurahan,Pasang Lela
1220012003,Kelurahan,Aek Jabut
1220012004,Kelurahan,Nabundong
1220012005,Kelurahan,Gunung Sormin
1220012006,Kelurahan,Sihalo Halo
1220012007,Kelurahan,Kuala Simpang
1220012008,Kelurahan,Simundol
1220012009,Kelurahan,Nahula Julu
1220012010,Kelurahan,Simaninggir Simundol
1220012011,Kelurahan,Simangambat
1220012012,Kelurahan,Saba Bangun
1220012013,Kelurahan,Malino
1220012014,Kelurahan,Gonting Bange
1220012015,Kelurahan,Hutaimbaru Simundol
1220012016,Kelurahan,Padang Matinggi Simundol
1220012017,Kelurahan,Sunut
1220012018,Kelurahan,Batu Hibul
1220012019,Kelurahan,Sigordang
1220012020,Kelurahan,Pamarai
1220012021,Kelurahan,Padang Matinggi GNT
1220012022,Kelurahan,Gadung Holbung
1220012023,Kelurahan,Salusuhan
1220012024,Kelurahan,Panyabungan
1220012025,Kelurahan,Sayur Matinggi
1220012026,Kelurahan,Hasahatan
1220012027,Kelurahan,Pinarik
1220012028,Kelurahan,Unte Manis
1220012029,Kelurahan,Sipogas
1220012030,Kelurahan,Sipogas A
1220012031,Kelurahan,Padang Malakka
1220012032,Kelurahan,Aek Simanap
1220012033,Kelurahan,Pulo Liman
1220012034,Kelurahan,Aek Kundur
1220012035,Kelurahan,Hatiran
1220012036,Kelurahan,Karang Anyar
1220012037,Kelurahan,Aek Kanan
1220012038,Kelurahan,Nahula Jae
1220012039,Kelurahan,Simadihon
1220012040,Kelurahan,Pasar Sayur Matinggi
1220012041,Kelurahan,Tj. Baru Silaiya
1220012042,Kelurahan,Sitonun
1220012043,Kelurahan,Pasar Simundol
1220012044,Kelurahan,Pamonoran
122002,Kecamatan,Dolok
1220022001,Kelurahan,Siguga
1220022002,Kelurahan,Singanyal
1220022003,Kelurahan,Binanga Panasahan
1220022004,Kelurahan,Aek Haruaya
1220022005,Kelurahan,Tanjung Baru B
1220022006,Kelurahan,Pasar Sipiongot
1220022007,Kelurahan,Bintais Julu
1220022008,Kelurahan,Bunut
1220022009,Kelurahan,Paya Ombik
1220022010,Kelurahan,Aek Suhat Jae
1220022011,Kelurahan,Huta Baru Sil
1220022012,Kelurahan,Sijorang
1220022013,Kelurahan,Simaninggir Sip
1220022014,Kelurahan,Pangaran Julu I
1220022015,Kelurahan,Mompang Lombang
1220022016,Kelurahan,Janji Manahan Sil
1220022017,Kelurahan,Baringin Sip
1220022018,Kelurahan,Gunung Maria
1220022019,Kelurahan,Mompang Dolok
1220022020,Kelurahan,Aek Rao TN
1220022021,Kelurahan,Sijantung Julu
1220022022,Kelurahan,Batu Runding
1220022023,Kelurahan,Lubuk Godang
1220022024,Kelurahan,Bahap
1220022025,Kelurahan,Aek Ilung
1220022026,Kelurahan,Tarutung Bolak
1220022027,Kelurahan,Sungai Pining
1220022028,Kelurahan,Siloung
1220022029,Kelurahan,Hutaimbaru Gul
1220022030,Kelurahan,Sipiongot
1220022031,Kelurahan,Gumbot
1220022032,Kelurahan,Gunung Selamat
1220022033,Kelurahan,Silogo Logo
1220022034,Kelurahan,Lubuk Kundur
1220022035,Kelurahan,Jambur Batu
1220022036,Kelurahan,Simatorkis
1220022037,Kelurahan,Rancaran
1220022038,Kelurahan,Naga Saribu
1220022039,Kelurahan,Simataniari Jae
1220022040,Kelurahan,Janji Manahan Gul
1220022041,Kelurahan,Simataniari
1220022042,Kelurahan,Parmeraan
1220022043,Kelurahan,Panca
1220022044,Kelurahan,Dalihan Natolu
1220022045,Kelurahan,Sungai Datar
1220022046,Kelurahan,Lubuk Lanjang
1220022047,Kelurahan,Arse
1220022048,Kelurahan,Simangambat Tua
1220022049,Kelurahan,Sigala Gala
1220022050,Kelurahan,Sibayo Jae
1220022051,Kelurahan,Dolok Sanggul
1220022052,Kelurahan,Silangge
1220022053,Kelurahan,Pijor Koling
1220022054,Kelurahan,Pagaran Julu II
1220022055,Kelurahan,Siala Gundi
1220022056,Kelurahan,Siraga HP
1220022057,Kelurahan,Aek Sundur
1220022058,Kelurahan,Baringin Sil
1220022059,Kelurahan,Hula Baringin
1220022060,Kelurahan,Nabonggal
1220022061,Kelurahan,Purba Tua
1220022062,Kelurahan,Tanjung Longat
1220022063,Kelurahan,Sibio Bio
1220022064,Kelurahan,Situmbaga
1220022065,Kelurahan,Sijara Jara
1220022066,Kelurahan,Huta Baru Sip
1220022067,Kelurahan,Pagaran Siregar
1220022068,Kelurahan,Parigi
1220022069,Kelurahan,Napasundali
1220022070,Kelurahan,Aek Suhat TR
1220022071,Kelurahan,Gumaruntar
1220022072,Kelurahan,Sijantung Jae
1220022073,Kelurahan,Janji Matogu
1220022074,Kelurahan,Sialang Dolok
1220022075,Kelurahan,Binanga Gumbot
1220022076,Kelurahan,Simanosor
1220022077,Kelurahan,Bukit Tinggi
1220022078,Kelurahan,Simambal
1220022079,Kelurahan,Bandar Nauli
1220022080,Kelurahan,Sibayo
1220022081,Kelurahan,Sinabongan
1220022082,Kelurahan,Siranap
1220022083,Kelurahan,Aek Tangga
1220022084,Kelurahan,Rongkare
1220022085,Kelurahan,Siburbur
1220022086,Kelurahan,Pintu Padang Merdeka
122003,Kecamatan,Halongonan
1220032001,Kelurahan,Hutaimbaru
1220032002,Kelurahan,Hambulo
1220032003,Kelurahan,Paolan
1220032004,Kelurahan,Pangirkiran
1220032005,Kelurahan,Balimbing
1220032006,Kelurahan,Rondaman Siburegar
1220032007,Kelurahan,Sipaho
1220032008,Kelurahan,Silantoyung
1220032009,Kelurahan,Hiteurat
1220032010,Kelurahan,Siboru Angin
1220032011,Kelurahan,Sandean Jae
1220032012,Kelurahan,Sandean Tonga
1220032013,Kelurahan,Sandean Julu
1220032014,Kelurahan,Hasahatan
1220032015,Kelurahan,Pagar Gunung
1220032016,Kelurahan,Pangarambangan
1220032017,Kelurahan,Napa Lancat
1220032018,Kelurahan,Halongonan
1220032019,Kelurahan,Bargot Topong Julu
1220032020,Kelurahan,Bargot Topong Jae
1220032021,Kelurahan,Siringki Jae
1220032022,Kelurahan,Ujung Padang
1220032023,Kelurahan,Sigala Gala
1220032032,Kelurahan,Hutanopan
1220032036,Kelurahan,Sipenggeng
1220032037,Kelurahan,Saba
1220032038,Kelurahan,Sitabola
1220032039,Kelurahan,Sitonun
1220032040,Kelurahan,Tapus Jae
1220032041,Kelurahan,Japinulik
1220032042,Kelurahan,Paran Honas
1220032043,Kelurahan,Siringki Julu
1220032044,Kelurahan,Batu Tunggal
122004,Kecamatan,Padang Bolak
1220041001,Kelurahan,Pasar Gunung Tua
1220042008,Kelurahan,Lubuk Torop
1220042012,Kelurahan,Tanjung Marulak
1220042013,Kelurahan,Ambasang Natigor
1220042014,Kelurahan,Napagadung Laut
1220042015,Kelurahan,Rampa Jae
1220042016,Kelurahan,Rampa Julu
1220042017,Kelurahan,Mananti
1220042018,Kelurahan,Paran Padang
1220042019,Kelurahan,Rahuning Jae
1220042020,Kelurahan,Botung
1220042021,Kelurahan,Sigimbal
1220042022,Kelurahan,Dolok Sae
1220042023,Kelurahan,Simasi
1220042024,Kelurahan,Sihapas Hapas
1220042025,Kelurahan,Sungai Tolang
1220042026,Kelurahan,Losung Batu
1220042027,Kelurahan,Batu Mamak
1220042028,Kelurahan,Sampuran
1220042029,Kelurahan,Gunung Tua Baru
1220042030,Kelurahan,Sibatang Kayu
1220042031,Kelurahan,Aek Suhat
1220042038,Kelurahan,Gunung Tua Tonga
1220042039,Kelurahan,Gunung Tua Jae
1220042040,Kelurahan,Gunung Tua Julu
1220042041,Kelurahan,Hutalombang
1220042042,Kelurahan,Batang Baruhar Julu
1220042043,Kelurahan,Batang Baruhar Jae
1220042044,Kelurahan,Purba Sinomba
1220042045,Kelurahan,Hambiri
1220042046,Kelurahan,Sosopan
1220042047,Kelurahan,Pagaran Singkam
1220042048,Kelurahan,Pagaran Tonga
1220042049,Kelurahan,Sibagasi
1220042050,Kelurahan,Batu Tambun
1220042051,Kelurahan,Tanjung Tiram
1220042052,Kelurahan,Garoga
1220042053,Kelurahan,Hajoran
1220042054,Kelurahan,Batu Sundung
1220042055,Kelurahan,Garonggang
1220042056,Kelurahan,Nabonggal
1220042057,Kelurahan,Liang Hasona
1220042058,Kelurahan,Simandiangin Dolok
1220042059,Kelurahan,Simandiangin Lombang
1220042060,Kelurahan,Padang Garugur
1220042061,Kelurahan,Simanosor
1220042062,Kelurahan,Sigama
1220042063,Kelurahan,Sigama Ujung Gading
1220042064,Kelurahan,Parlimbatan
1220042065,Kelurahan,Saba Sitahul tahul
1220042066,Kelurahan,Saba Bangunan
1220042067,Kelurahan,Sidingkat
1220042069,Kelurahan,Gunung Manaon II
1220042070,Kelurahan,Purba Tua
1220042071,Kelurahan,Sungai Durian
1220042072,Kelurahan,Sungai Orosan
1220042073,Kelurahan,Hutaimbaru II
1220042074,Kelurahan,Siombob
1220042075,Kelurahan,Aek Gambir
1220042076,Kelurahan,Bukit Raya Sordang
1220042077,Kelurahan,Aek Jangkang
1220042078,Kelurahan,Simbolon
122005,Kecamatan,Padang Bolak Julu
1220052001,Kelurahan,Pancur Pangko
1220052002,Kelurahan,Hasambi
1220052003,Kelurahan,Paran Nangka
1220052004,Kelurahan,Batu Rancang
1220052005,Kelurahan,Sitanggoru
1220052006,Kelurahan,Siunggam Dolok
1220052007,Kelurahan,Balimbing Jae
1220052008,Kelurahan,Sipupus Lombang
1220052009,Kelurahan,Balimbing Julu
1220052010,Kelurahan,Sobar
1220052011,Kelurahan,Pamuntaran
1220052012,Kelurahan,Paran Gadung
1220052013,Kelurahan,Padang Bujur
1220052014,Kelurahan,Ubar
1220052015,Kelurahan,Lantosan II
1220052016,Kelurahan,Batu Gana
1220052017,Kelurahan,Padang Baruas
1220052018,Kelurahan,Aek Bargot
1220052019,Kelurahan,Gariang
1220052020,Kelurahan,Balakka
1220052021,Kelurahan,Parupuk Jae
1220052022,Kelurahan,Parupuk Julu
1220052023,Kelurahan,Sialang
122006,Kecamatan,Portibi
1220062002,Kelurahan,Sitopayan
1220062003,Kelurahan,Lantosan I
1220062004,Kelurahan,Aek Haruaya
1220062005,Kelurahan,Gunung Baringin
1220062006,Kelurahan,Hadungdung
1220062007,Kelurahan,Rondaman Dolok
1220062008,Kelurahan,Sipirok
1220062009,Kelurahan,Tanjung Salamat
1220062010,Kelurahan,Rondaman Lombang
1220062011,Kelurahan,Parsarmaan
1220062012,Kelurahan,Aloban
1220062013,Kelurahan,Portibi Julu
1220062014,Kelurahan,Portibi Jae
1220062015,Kelurahan,Gunung Manaon I
1220062016,Kelurahan,Pasir Pinang
1220062017,Kelurahan,Bahal
1220062018,Kelurahan,Bara
1220062019,Kelurahan,Simandiangin
1220062020,Kelurahan,Hotang Sasa
1220062021,Kelurahan,Aek Siala
1220062022,Kelurahan,Gumarupu Baru
1220062023,Kelurahan,Padang Manjoir
1220062024,Kelurahan,Gumarupu Lama
1220062025,Kelurahan,Gunung Martua
1220062026,Kelurahan,Sihambeng
1220062027,Kelurahan,Aek Torop
1220062028,Kelurahan,Napa Lombang
1220062029,Kelurahan,Mangaledang Lama
1220062030,Kelurahan,Mangaledang
1220062031,Kelurahan,Bangkudu
1220062032,Kelurahan,Balakka Torop
1220062033,Kelurahan,Janji Matogu
1220062034,Kelurahan,Muara Sigama
1220062035,Kelurahan,Napahalas
1220062036,Kelurahan,Sigama Napahalas
1220062039,Kelurahan,Torluk Muara Dolok
122007,Kecamatan,Batang Onang
1220071001,Kelurahan,Sayur Matinggi
1220072002,Kelurahan,Pangkal Dolok Lama
1220072003,Kelurahan,Pangkal Dolok Julu
1220072004,Kelurahan,Pintu Padang
1220072005,Kelurahan,Batang Onang Lama
1220072006,Kelurahan,Bonan Dolok
1220072007,Kelurahan,Simardona
1220072008,Kelurahan,Batang Onang Baru
1220072009,Kelurahan,Parau Sorat
1220072010,Kelurahan,Pasar Matanggor
1220072011,Kelurahan,Batu Pulut
1220072012,Kelurahan,Huta Lambung
1220072013,Kelurahan,Galanggang
1220072014,Kelurahan,Gunungtua Tumbu Jati
1220072015,Kelurahan,Gunungtua Batang Onang
1220072016,Kelurahan,Simanapang
1220072017,Kelurahan,Simaninggir
1220072018,Kelurahan,Batu Mamak
1220072019,Kelurahan,Padang Garugur
1220072020,Kelurahan,Padang Matinggi
1220072021,Kelurahan,Purba Tua
1220072022,Kelurahan,Janji Mauli
1220072023,Kelurahan,Sayur Matinggi Julu
1220072024,Kelurahan,Gunung Tua Julu
1220072025,Kelurahan,Pasir Ampolu Hopong
1220072026,Kelurahan,Pagaran Batu
1220072027,Kelurahan,Tamosu
1220072028,Kelurahan,Simangambat Dolok
1220072029,Kelurahan,Janji Manahan
1220072030,Kelurahan,Padang Bujur Baru
1220072031,Kelurahan,Batu Nanggar
1220072032,Kelurahan,Morang
122008,Kecamatan,Simangambat
1220082014,Kelurahan,Ulak Tano
1220082015,Kelurahan,Aekraru
1220082016,Kelurahan,Tanjung Maria
1220082017,Kelurahan,Mandasip
1220082018,Kelurahan,Huta Baru
1220082019,Kelurahan,Janji Matogu
1220082020,Kelurahan,Paran Padang
1220082021,Kelurahan,Tanjung Botung
1220082022,Kelurahan,Huta Pasir
1220082023,Kelurahan,Langkimat
1220082024,Kelurahan,Jabi Jabi
1220082025,Kelurahan,Simangambat Jae
1220082026,Kelurahan,Ujung Gading Jae
1220082027,Kelurahan,Huta Baringin
1220082028,Kelurahan,Gunung Manaon Sim
1220082029,Kelurahan,Sionggoton
1220082030,Kelurahan,Paran Tonga Sim
1220082031,Kelurahan,Ujung Gading Julu
1220082032,Kelurahan,Simangambat Julu
1220082033,Kelurahan,Sigagan
1220082034,Kelurahan,Kosik Putih
122009,Kecamatan,Hulu Sihapas
1220092001,Kelurahan,Aek Godang
1220092002,Kelurahan,Aek Nauli
1220092003,Kelurahan,Sampuran Simarloting
1220092004,Kelurahan,Pangirkiran
1220092005,Kelurahan,Simaninggir
1220092006,Kelurahan,Suka Dame
1220092007,Kelurahan,Pintu Bosi
1220092008,Kelurahan,Sidong-dong
1220092009,Kelurahan,Sitabar
1220092010,Kelurahan,Parmeraan
122010,Kecamatan,Padang Bolak Tenggara
1220102001,Kelurahan,Siunggam Julu
1220102002,Kelurahan,Siunggam Tonga
1220102003,Kelurahan,Siunggam Jae
1220102004,Kelurahan,Aek Bayur
1220102005,Kelurahan,Aek Tolong
1220102006,Kelurahan,Tangga-Tangga Hambeng
1220102007,Kelurahan,Simaninggir
1220102008,Kelurahan,Bangun Purba
1220102009,Kelurahan,Naga Saribu
1220102010,Kelurahan,Sihoda-Hoda
1220102011,Kelurahan,Mompang II
1220102012,Kelurahan,Gulangan
1220102013,Kelurahan,Pijor Koling
1220102014,Kelurahan,Purba Tua Dolok
122011,Kecamatan,Halongonan Timur
1220112001,Kelurahan,Siancimun
1220112002,Kelurahan,Bolatan
1220112003,Kelurahan,Pasir Bara
1220112004,Kelurahan,Gunung Intan
1220112005,Kelurahan,Mompang I
1220112006,Kelurahan,Gunung Manaon III
1220112007,Kelurahan,Sihopuk Baru
1220112008,Kelurahan,Sihopuk Lama
1220112009,Kelurahan,Rondaman
1220112010,Kelurahan,Hutabaru Nangka
1220112011,Kelurahan,Situmbaga
1220112012,Kelurahan,Batang Pane I
1220112013,Kelurahan,Batang Pane II
1220112014,Kelurahan,Batang Pane III
122012,Kecamatan,Ujung Batu
1220122001,Kelurahan,Huta Raja
1220122002,Kelurahan,Ujung Batu Julu
1220122003,Kelurahan,Gunung Manaon UB
1220122004,Kelurahan,Labuhan Jurung
1220122005,Kelurahan,Martujuan
1220122006,Kelurahan,Paya Bahung UB
1220122007,Kelurahan,Tobing Tinggi UB
1220122008,Kelurahan,Ujung Batu Jae
1220122009,Kelurahan,Marlaung
1220122010,Kelurahan,Mananti
1220122011,Kelurahan,Jambu Tonang
1220122012,Kelurahan,Manare Tua
1220122013,Kelurahan,Pasir Lancat UB
1221,Kota Kabupaten,Kab. Padang Lawas
122101,Kecamatan,Sosopan
1221012001,Kelurahan,Pagaranbira Jae
1221012002,Kelurahan,Pagaran Bira Julu
1221012003,Kelurahan,Huta Bargot
1221012004,Kelurahan,Siundol Jae
1221012005,Kelurahan,Siundol Julu
1221012006,Kelurahan,Siundol Dolok
1221012007,Kelurahan,Hutabaru Siundol
1221012008,Kelurahan,Binanga Tolu
1221012009,Kelurahan,Aek Bargot
1221012010,Kelurahan,Ulu Aer
1221012011,Kelurahan,Hulim
1221012012,Kelurahan,Sianggunan
1221012013,Kelurahan,Simaninggir Sosopan
1221012014,Kelurahan,Sibualbuali
1221012015,Kelurahan,Sosopan
1221012016,Kelurahan,Sigala-Gala
1221012017,Kelurahan,Sihaporas
1221012018,Kelurahan,Banua Tonga
1221012019,Kelurahan,Sosopan Julu
1221012020,Kelurahan,Huta Bara
1221012021,Kelurahan,Hutabaru Sosopan
1221012022,Kelurahan,Simartolu
122102,Kecamatan,Barumun Tengah
1221022001,Kelurahan,Gunung Baringin
1221022002,Kelurahan,Pasar Binanga
1221022003,Kelurahan,Sihaborgoan Dalan
1221022004,Kelurahan,Aek Tanduk
1221022005,Kelurahan,PP. Makmur
1221022006,Kelurahan,Siboris Bahal
1221022007,Kelurahan,Bangkudu
1221022008,Kelurahan,Siolip
1221022009,Kelurahan,Aek Tunjang
1221022010,Kelurahan,Binanga
1221022011,Kelurahan,Manombo
1221022012,Kelurahan,Janji Raja
1221022013,Kelurahan,Pangirkiran Dolok
1221022014,Kelurahan,Sihaborgoan Barumun
1221022015,Kelurahan,Siboris Dolok
1221022016,Kelurahan,Padang Matinggi
1221022017,Kelurahan,Tandihat
1221022018,Kelurahan,Bara Batu
1221022019,Kelurahan,Bahal Batu
1221022020,Kelurahan,Ginduang Batu
1221022021,Kelurahan,Padang Garugur
1221022022,Kelurahan,Gunung Manaon
1221022023,Kelurahan,Siboris Lombang
1221022024,Kelurahan,Janji Matogu
1221022025,Kelurahan,Gunung Malintang
1221022026,Kelurahan,Sibatu Loting
1221022028,Kelurahan,Janji Manahan
1221022029,Kelurahan,Siparau
1221022030,Kelurahan,Unterudang
122103,Kecamatan,Huristak
1221032001,Kelurahan,Binanga Tolu
1221032002,Kelurahan,Tanjung Baringin
1221032003,Kelurahan,Huristak
1221032004,Kelurahan,Paran Tonga
1221032005,Kelurahan,Gonting Julu
1221032006,Kelurahan,Bulu Cina
1221032007,Kelurahan,Sigading
1221032008,Kelurahan,Pasir Lancat Lama
1221032009,Kelurahan,Siala Gundi
1221032010,Kelurahan,Tobing Julu
1221032011,Kelurahan,Tar Sihoda-Hoda
1221032012,Kelurahan,Huta Pasir Ulak Tano
1221032013,Kelurahan,Tobing Jae
1221032014,Kelurahan,Pasar Huristak
1221032015,Kelurahan,Sipirok Baru
1221032016,Kelurahan,Pasir Lancat Baru
1221032017,Kelurahan,Tobing Tinggi
1221032018,Kelurahan,Ganal
1221032019,Kelurahan,Paya Bujing
1221032020,Kelurahan,Pulo Bariang
1221032021,Kelurahan,Ramba
1221032022,Kelurahan,Gonting Jae
1221032023,Kelurahan,Gala Bonang
1221032024,Kelurahan,Tanjung Morang
1221032025,Kelurahan,Gunung Manaon
1221032026,Kelurahan,Gunung Matinggi
1221032027,Kelurahan,Pasir Pinang
122104,Kecamatan,Lubuk Barumun
1221042001,Kelurahan,Janji Matogu
1221042002,Kelurahan,Pagaran Silindung
1221042003,Kelurahan,Tangga Bosi
1221042004,Kelurahan,Hutaibus
1221042005,Kelurahan,Pagaran Jalu-Jalu
1221042006,Kelurahan,Hutanopan
1221042007,Kelurahan,Pasar Latong
1221042008,Kelurahan,Pagaran Jae Batu
1221042009,Kelurahan,Aek Lancat
1221042010,Kelurahan,Batang Tanggal Baru
1221042011,Kelurahan,Bonal
1221042012,Kelurahan,Pagaran Malaka
1221042013,Kelurahan,Huta Dolok
1221042014,Kelurahan,Gunung Manobot
1221042015,Kelurahan,Batang Bulu Jae
1221042016,Kelurahan,Suro Dingin
1221042017,Kelurahan,Janji Lobi Lima
1221042018,Kelurahan,Sangkilon
1221042019,Kelurahan,Siali-Ali
1221042020,Kelurahan,Huta Lombang
1221042021,Kelurahan,Pagaran Mompang
1221042022,Kelurahan,Parsombaan
1221042023,Kelurahan,Sihiuk
1221042024,Kelurahan,Batang Bulu Tanggal
122105,Kecamatan,Huta Raja Tinggi
1221052004,Kelurahan,Lubuk Bunut
1221052005,Kelurahan,Ujung Padang
1221052006,Kelurahan,Tanjung Baringin
1221052007,Kelurahan,Sibodak Sosa Jae
