display,code,extension
ClueTrust CartoMobile - Config,application/vnd.cluetrust.cartomobile-config,.c11amc
ClueTrust CartoMobile - Config Package,application/vnd.cluetrust.cartomobile-config-pkg,.c11amz
CMU Image,image/x-cmu-raster,.ras
COLLADA,model/vnd.collada+xml,.dae
Comma-Seperated Values,text/csv,.csv
Compact Pro,application/mac-compactpro,.cpt
Compiled Wireless Markup Language (WMLC),application/vnd.wap.wmlc,.wmlc
Computer Graphics Metafile,image/cgm,.cgm
CoolTalk,x-conference/x-cooltalk,.ice
Corel Metafile Exchange (CMX),image/x-cmx,.cmx
CorelXARA,application/vnd.xara,.xar
CosmoCaller,application/vnd.cosmocaller,.cmc
CPIO Archive,application/x-cpio,.cpio
CrickSoftware - Clicker,application/vnd.crick.clicker,.clkx
CrickSoftware - Clicker - Keyboard,application/vnd.crick.clicker.keyboard,.clkk
CrickSoftware - Clicker - Palette,application/vnd.crick.clicker.palette,.clkp
CrickSoftware - Clicker - Template,application/vnd.crick.clicker.template,.clkt
CrickSoftware - Clicker - Wordbank,application/vnd.crick.clicker.wordbank,.clkw
Critical Tools - PERT Chart EXPERT,application/vnd.criticaltools.wbs+xml,.wbs
CryptoNote,application/vnd.rig.cryptonote,.cryptonote
Crystallographic Interchange Format,chemical/x-cif,.cif
CrystalMaker Data Format,chemical/x-cmdf,.cmdf
CU-SeeMe,application/cu-seeme,.cu
CU-Writer,application/prs.cww,.cww
Curl - Applet,text/vnd.curl,.curl
Curl - Detached Applet,text/vnd.curl.dcurl,.dcurl
Curl - Manifest File,text/vnd.curl.mcurl,.mcurl
Curl - Source Code,text/vnd.curl.scurl,.scurl
CURL Applet,application/vnd.curl.car,.car
CURL Applet,application/vnd.curl.pcurl,.pcurl
CustomMenu,application/vnd.yellowriver-custom-menu,.cmp
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+der,.dssc
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+xml,.xdssc
Debian Package,application/x-debian-package,.deb
DECE Audio,audio/vnd.dece.audio,.uva
DECE Graphic,image/vnd.dece.graphic,.uvi
DECE High Definition Video,video/vnd.dece.hd,.uvh
DECE Mobile Video,video/vnd.dece.mobile,.uvm
DECE MP4,video/vnd.uvvu.mp4,.uvu
DECE PD Video,video/vnd.dece.pd,.uvp
DECE SD Video,video/vnd.dece.sd,.uvs
DECE Video,video/vnd.dece.video,.uvv
Device Independent File Format (DVI),application/x-dvi,.dvi
Digital Siesmograph Networks - SEED Datafiles,application/vnd.fdsn.seed,.seed
Digital Talking Book,application/x-dtbook+xml,.dtb
Digital Talking Book - Resource File,application/x-dtbresource+xml,.res
Digital Video Broadcasting,application/vnd.dvb.ait,.ait
Digital Video Broadcasting,application/vnd.dvb.service,.svc
Digital Winds Music,audio/vnd.digital-winds,.eol
DjVu,image/vnd.djvu,.djvu
Document Type Definition,application/xml-dtd,.dtd
Dolby Meridian Lossless Packing,application/vnd.dolby.mlp,.mlp
Doom Video Game,application/x-doom,.wad
DPGraph,application/vnd.dpgraph,.dpg
DRA Audio,audio/vnd.dra,.dra
DreamFactory,application/vnd.dreamfactory,.dfac
DTS Audio,audio/vnd.dts,.dts
DTS High Definition Audio,audio/vnd.dts.hd,.dtshd
DWG Drawing,image/vnd.dwg,.dwg
DynaGeo,application/vnd.dynageo,.geo
ECMAScript,application/ecmascript,.es
EcoWin Chart,application/vnd.ecowin.chart,.mag
EDMICS 2000,image/vnd.fujixerox.edmics-mmr,.mmr
EDMICS 2000,image/vnd.fujixerox.edmics-rlc,.rlc
Efficient XML Interchange,application/exi,.exi
EFI Proteus,application/vnd.proteus.magazine,.mgz
Electronic Publication,application/epub+zip,.epub
Email Message,message/rfc822,.eml
Enliven Viewer,application/vnd.enliven,.nml
Express by Infoseek,application/vnd.is-xpr,.xpr
eXtended Image File Format (XIFF),image/vnd.xiff,.xif
Extensible Forms Description Language,application/vnd.xfdl,.xfdl
Extensible MultiModal Annotation,application/emma+xml,.emma
EZPix Secure Photo Album,application/vnd.ezpix-album,.ez2
EZPix Secure Photo Album,application/vnd.ezpix-package,.ez3
FAST Search & Transfer ASA,image/vnd.fst,.fst
FAST Search & Transfer ASA,video/vnd.fvt,.fvt
FastBid Sheet,image/vnd.fastbidsheet,.fbs
FCS Express Layout Link,application/vnd.denovo.fcselayout-link,.fe_launch
Flash Video,video/x-f4v,.f4v
Flash Video,video/x-flv,.flv
FlashPix,image/vnd.fpx,.fpx
FlashPix,image/vnd.net-fpx,.npx
FLEXSTOR,text/vnd.fmi.flexstor,.flx
FLI/FLC Animation Format,video/x-fli,.fli
FluxTime Clip,application/vnd.fluxtime.clip,.ftc
Forms Data Format,application/vnd.fdf,.fdf
Fortran Source File,text/x-fortran,.f
FrameMaker Interchange Format,application/vnd.mif,.mif
FrameMaker Normal Format,application/vnd.framemaker,.fm
FreeHand MX,image/x-freehand,.fh
Friendly Software Corporation,application/vnd.fsc.weblaunch,.fsc
Frogans Player,application/vnd.frogans.fnc,.fnc
Frogans Player,application/vnd.frogans.ltf,.ltf
Fujitsu - Xerox 2D CAD Data,application/vnd.fujixerox.ddd,.ddd
Fujitsu - Xerox DocuWorks,application/vnd.fujixerox.docuworks,.xdw
Fujitsu - Xerox DocuWorks Binder,application/vnd.fujixerox.docuworks.binder,.xbd
Fujitsu Oasys,application/vnd.fujitsu.oasys,.oas
Fujitsu Oasys,application/vnd.fujitsu.oasys2,.oa2
Fujitsu Oasys,application/vnd.fujitsu.oasys3,.oa3
Fujitsu Oasys,application/vnd.fujitsu.oasysgp,.fg5
Fujitsu Oasys,application/vnd.fujitsu.oasysprs,.bh2
FutureSplash Animator,application/x-futuresplash,.spl
FuzzySheet,application/vnd.fuzzysheet,.fzs
G3 Fax Image,image/g3fax,.g3
GameMaker ActiveX,application/vnd.gmx,.gmx
Gen-Trix Studio,model/vnd.gtw,.gtw
Genomatix Tuxedo Framework,application/vnd.genomatix.tuxedo,.txd
GeoGebra,application/vnd.geogebra.file,.ggb
GeoGebra,application/vnd.geogebra.tool,.ggt
Geometric Description Language (GDL),model/vnd.gdl,.gdl
GeoMetry Explorer,application/vnd.geometry-explorer,.gex
GEONExT and JSXGraph,application/vnd.geonext,.gxt
GeoplanW,application/vnd.geoplan,.g2w
GeospacW,application/vnd.geospace,.g3w
Ghostscript Font,application/x-font-ghostscript,.gsf
Glyph Bitmap Distribution Format,application/x-font-bdf,.bdf
GNU Tar Files,application/x-gtar,.gtar
GNU Texinfo Document,application/x-texinfo,.texinfo
Gnumeric,application/x-gnumeric,.gnumeric
Google Earth - KML,application/vnd.google-earth.kml+xml,.kml
Google Earth - Zipped KML,application/vnd.google-earth.kmz,.kmz
GPS eXchange Format,application/gpx+xml,.gpx
GrafEq,application/vnd.grafeq,.gqf
Graphics Interchange Format,image/gif,.gif
Graphviz,text/vnd.graphviz,.gv
Groove - Account,application/vnd.groove-account,.gac
Groove - Help,application/vnd.groove-help,.ghf
Groove - Identity Message,application/vnd.groove-identity-message,.gim
Groove - Injector,application/vnd.groove-injector,.grv
Groove - Tool Message,application/vnd.groove-tool-message,.gtm
Groove - Tool Template,application/vnd.groove-tool-template,.tpl
Groove - Vcard,application/vnd.groove-vcard,.vcg
GZip,application/gzip,.gz
H.261,video/h261,.h261
H.263,video/h263,.h263
H.264,video/h264,.h264
Hewlett Packard Instant Delivery,application/vnd.hp-hpid,.hpid
Hewlett-Packard's WebPrintSmart,application/vnd.hp-hps,.hps
Hierarchical Data Format,application/x-hdf,.hdf
Hit'n'Mix,audio/vnd.rip,.rip
Homebanking Computer Interface (HBCI),application/vnd.hbci,.hbci
HP Indigo Digital Press - Job Layout Languate,application/vnd.hp-jlyt,.jlt
HP Printer Command Language,application/vnd.hp-pcl,.pcl
HP-GL/2 and HP RTL,application/vnd.hp-hpgl,.hpgl
HV Script,application/vnd.yamaha.hv-script,.hvs
HV Voice Dictionary,application/vnd.yamaha.hv-dic,.hvd
HV Voice Parameter,application/vnd.yamaha.hv-voice,.hvp
Hydrostatix Master Suite,application/vnd.hydrostatix.sof-data,.sfd-hdstx
Hyperstudio,application/hyperstudio,.stk
Hypertext Application Language,application/vnd.hal+xml,.hal
HyperText Markup Language (HTML),text/html,.html
IBM DB2 Rights Manager,application/vnd.ibm.rights-management,.irm
IBM Electronic Media Management System - Secure Container,application/vnd.ibm.secure-container,.sc
iCalendar,text/calendar,.ics
ICC profile,application/vnd.iccprofile,.icc
Icon Image,image/x-icon,.ico
igLoader,application/vnd.igloader,.igl
Image Exchange Format,image/ief,.ief
ImmerVision PURE Players,application/vnd.immervision-ivp,.ivp
ImmerVision PURE Players,application/vnd.immervision-ivu,.ivu
IMS Networks,application/reginfo+xml,.rif
In3D - 3DML,text/vnd.in3d.3dml,.3dml
In3D - 3DML,text/vnd.in3d.spot,.spot
Initial Graphics Exchange Specification (IGES),model/iges,.igs
Interactive Geometry Software,application/vnd.intergeo,.i2g
Interactive Geometry Software Cinderella,application/vnd.cinderella,.cdy
Intercon FormNet,application/vnd.intercon.formnet,.xpw
International Society for Advancement of Cytometry,application/vnd.isac.fcs,.fcs
Internet Protocol Flow Information Export,application/ipfix,.ipfix
Internet Public Key Infrastructure - Certificate,application/pkix-cert,.cer
Internet Public Key Infrastructure - Certificate Management Protocole,application/pkixcmp,.pki
Internet Public Key Infrastructure - Certificate Revocation Lists,application/pkix-crl,.crl
Internet Public Key Infrastructure - Certification Path,application/pkix-pkipath,.pkipath
IOCOM Visimeet,application/vnd.insors.igm,.igm
IP Unplugged Roaming Client,application/vnd.ipunplugged.rcprofile,.rcprofile
iRepository / Lucidoc Editor,application/vnd.irepository.package+xml,.irp
J2ME App Descriptor,text/vnd.sun.j2me.app-descriptor,.jad
Java Archive,application/java-archive,.jar
Java Bytecode File,application/java-vm,.class
Java Network Launching Protocol,application/x-java-jnlp-file,.jnlp
Java Serialized Object,application/java-serialized-object,.ser
Java Source File,"text/x-java-source,java",.java
JavaScript,application/javascript,.js
JavaScript Module,text/javascript,.mjs
JavaScript Module,application/json,.mjs
JavaScript Object Notation (JSON),application/vnd.joost.joda-archive,.json
Joda Archive,video/jpm,.joda
JPEG 2000 Compound Image File Format,image/jpeg,.jpm
JPEG Image,image/x-citrix-jpeg,".jpeg, .jpg"
JPEG Image (Citrix client),image/pjpeg,".jpeg, .jpg"
JPEG Image (Progressive),video/jpeg,.pjpeg
JPGVideo,application/ld+json,.jpgv
JSON - Linked Data,application/vnd.kahootz,.jsonld
Kahootz,application/vnd.chipnuts.karaoke-mmd,.ktz
Karaoke on Chipnuts Chipsets,application/vnd.kde.karbon,.mmd
KDE KOffice Office Suite - Karbon,application/vnd.kde.kchart,.karbon
KDE KOffice Office Suite - KChart,application/vnd.kde.kformula,.chrt
KDE KOffice Office Suite - Kformula,application/vnd.kde.kivio,.kfo
KDE KOffice Office Suite - Kivio,application/vnd.kde.kontour,.flw
KDE KOffice Office Suite - Kontour,application/vnd.kde.kpresenter,.kon
KDE KOffice Office Suite - Kpresenter,application/vnd.kde.kspread,.kpr
KDE KOffice Office Suite - Kspread,application/vnd.kde.kword,.ksp
KDE KOffice Office Suite - Kword,application/vnd.kenameaapp,.kwd
Kenamea App,application/vnd.kidspiration,.htke
Kidspiration,application/vnd.kinar,.kia
Kinar Applications,application/vnd.kodak-descriptor,.kne
Kodak Storyshare,application/vnd.las.las+xml,.sse
Laser App Enterprise,application/x-latex,.lasxml
LaTeX,application/vnd.llamagraphics.life-balance.desktop,.latex
Life Balance - Desktop Edition,application/vnd.llamagraphics.life-balance.exchange+xml,.lbd
Life Balance - Exchange Format,application/vnd.jam,.lbe
Lightspeed Audio Lab,application/vnd.lotus-1-2-3,.jam
Lotus 1-2-3,application/vnd.lotus-approach,0.123
Lotus Approach,application/vnd.lotus-freelance,.apr
Lotus Freelance,application/vnd.lotus-notes,.pre
Lotus Notes,application/vnd.lotus-organizer,.nsf
Lotus Organizer,application/vnd.lotus-screencam,.org
Lotus Screencam,application/vnd.lotus-wordpro,.scm
Lotus Wordpro,audio/vnd.lucent.voice,.lwp
Lucent Voice,audio/x-mpegurl,.lvp
M3U (Multimedia Playlist),video/x-m4v,.m3u
M4v,application/mac-binhex40,.m4v
Macintosh BinHex 4.0,application/vnd.macports.portpkg,.hqx
MacPorts Port System,application/vnd.osgeo.mapguide.package,.portpkg
MapGuide DBXML,application/marc,.mgp
MARC Formats,application/marcxml+xml,.mrc
MARC21 XML Schema,application/mxf,.mrcx
Material Exchange Format,application/vnd.wolfram.player,.mxf
Mathematica Notebook Player,application/mathematica,.nbp
Mathematica Notebooks,application/mathml+xml,.ma
Mathematical Markup Language,application/mbox,.mathml
Mbox database files,application/vnd.medcalcdata,.mbox
MedCalc,application/mediaservercontrol+xml,.mc1
Media Server Control Markup Language,application/vnd.mediastation.cdkey,.mscml
MediaRemote,application/vnd.mfer,.cdkey
Medical Waveform Encoding Format,application/vnd.mfmp,.mwf
Melody Format for Mobile Platform,model/mesh,.mfm
Mesh Data Type,application/mads+xml,.msh
Metadata Authority Description Schema,application/mets+xml,.mads
Metadata Encoding and Transmission Standard,application/mods+xml,.mets
Metadata Object Description Schema,application/metalink4+xml,.mods
Metalink,application/vnd.mcd,.meta4
Micro CADAM Helix D&D,application/vnd.micrografx.flo,.mcd
Micrografx,application/vnd.micrografx.igx,.flo
Micrografx iGrafx Professional,application/vnd.eszigno3+xml,.igx
MICROSEC e-Szign�,application/x-msaccess,.es3
Microsoft Access,video/x-ms-asf,.mdb
Microsoft Advanced Systems Format (ASF),application/x-msdownload,.asf
Microsoft Application,application/vnd.ms-artgalry,.exe
Microsoft Artgalry,application/vnd.ms-cab-compressed,.cil
Microsoft Cabinet File,application/vnd.ms-ims,.cab
Microsoft Class Server,application/x-ms-application,.ims
Microsoft ClickOnce,application/x-msclip,.application
Microsoft Clipboard Clip,image/vnd.ms-modi,.clp
Microsoft Document Imaging Format,application/vnd.ms-fontobject,.mdi
Microsoft Embedded OpenType,application/vnd.ms-excel,.eot
Microsoft Excel,application/vnd.ms-excel.addin.macroenabled.12,.xls
Microsoft Excel - Add-In File,application/vnd.ms-excel.sheet.binary.macroenabled.12,.xlam
Microsoft Excel - Binary Workbook,application/vnd.ms-excel.template.macroenabled.12,.xlsb
Microsoft Excel - Macro-Enabled Template File,application/vnd.ms-excel.sheet.macroenabled.12,.xltm
Microsoft Excel - Macro-Enabled Workbook,application/vnd.ms-htmlhelp,.xlsm
Microsoft Html Help File,application/x-mscardfile,.chm
Microsoft Information Card,application/vnd.ms-lrm,.crd
Microsoft Learning Resource Module,application/x-msmediaview,.lrm
Microsoft MediaView,application/x-msmoney,.mvb
Microsoft Money,application/vnd.openxmlformats-officedocument.presentationml.presentation,.mny
Microsoft Office - OOXML - Presentation,application/vnd.openxmlformats-officedocument.presentationml.slide,.pptx
Microsoft Office - OOXML - Presentation (Slide),application/vnd.openxmlformats-officedocument.presentationml.slideshow,.sldx
Microsoft Office - OOXML - Presentation (Slideshow),application/vnd.openxmlformats-officedocument.presentationml.template,.ppsx
Microsoft Office - OOXML - Presentation Template,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,.potx
Microsoft Office - OOXML - Spreadsheet,application/vnd.openxmlformats-officedocument.spreadsheetml.template,.xlsx
Microsoft Office - OOXML - Spreadsheet Template,application/vnd.openxmlformats-officedocument.wordprocessingml.document,.xltx
Microsoft Office - OOXML - Word Document,application/vnd.openxmlformats-officedocument.wordprocessingml.template,.docx
Microsoft Office - OOXML - Word Document Template,application/x-msbinder,.dotx
Microsoft Office Binder,application/vnd.ms-officetheme,.obd
Microsoft Office System Release Theme,application/onenote,.thmx
Microsoft OneNote,audio/vnd.ms-playready.media.pya,.onetoc
Microsoft PlayReady Ecosystem,video/vnd.ms-playready.media.pyv,.pya
Microsoft PlayReady Ecosystem Video,application/vnd.ms-powerpoint,.pyv
Microsoft PowerPoint,application/vnd.ms-powerpoint.addin.macroenabled.12,.ppt
Microsoft PowerPoint - Add-in file,application/vnd.ms-powerpoint.slide.macroenabled.12,.ppam
Microsoft PowerPoint - Macro-Enabled Open XML Slide,application/vnd.ms-powerpoint.presentation.macroenabled.12,.sldm
Microsoft PowerPoint - Macro-Enabled Presentation File,application/vnd.ms-powerpoint.slideshow.macroenabled.12,.pptm
Microsoft PowerPoint - Macro-Enabled Slide Show File,application/vnd.ms-powerpoint.template.macroenabled.12,.ppsm
Microsoft PowerPoint - Macro-Enabled Template File,application/vnd.ms-project,.potm
Microsoft Project,application/x-mspublisher,.mpp
Microsoft Publisher,application/x-msschedule,.pub
Microsoft Schedule+,application/x-silverlight-app,.scd
Microsoft Silverlight,application/vnd.ms-pki.stl,.xap
Microsoft Trust UI Provider - Certificate Trust Link,application/vnd.ms-pki.seccat,.stl
Microsoft Trust UI Provider - Security Catalog,application/vnd.visio,.cat
Microsoft Visio,application/vnd.visio2013,.vsd
Microsoft Visio 2013,video/x-ms-wm,.vsdx
Microsoft Windows Media,audio/x-ms-wma,.wm
Microsoft Windows Media Audio,audio/x-ms-wax,.wma
Microsoft Windows Media Audio Redirector,video/x-ms-wmx,.wax
Microsoft Windows Media Audio/Video Playlist,application/x-ms-wmd,.wmx
Microsoft Windows Media Player Download Package,application/vnd.ms-wpl,.wmd
Microsoft Windows Media Player Playlist,application/x-ms-wmz,.wpl
Microsoft Windows Media Player Skin Package,video/x-ms-wmv,.wmz
Microsoft Windows Media Video,video/x-ms-wvx,.wmv
Microsoft Windows Media Video Playlist,application/x-msmetafile,.wvx
Microsoft Windows Metafile,application/x-msterminal,.wmf
Microsoft Windows Terminal Services,application/msword,.trm
Microsoft Word,application/vnd.ms-word.document.macroenabled.12,.doc
Microsoft Word - Macro-Enabled Document,application/vnd.ms-word.template.macroenabled.12,.docm
Microsoft Word - Macro-Enabled Template,application/x-mswrite,.dotm
Microsoft Wordpad,application/vnd.ms-works,.wri
Microsoft Works,application/x-ms-xbap,.wps
Microsoft XAML Browser Application,application/vnd.ms-xpsdocument,.xbap
Microsoft XML Paper Specification,audio/midi,.xps
MIDI,application/vnd.ibm.minipay,.midi
MIDI - Musical Instrument Digital Interface,application/vnd.ibm.modcap,.mid
MiniPay,application/vnd.jcp.javame.midlet-rms,.mpy
MO:DCA-P,application/vnd.tmobile-livetv,.afp
Mobile Information Device Profile,application/x-mobipocket-ebook,.rms
MobileTV,application/vnd.mobius.mbk,.tmo
Mobipocket,application/vnd.mobius.dis,.prc
Mobius Management Systems - Basket file,application/vnd.mobius.plc,.mbk
Mobius Management Systems - Distribution Database,application/vnd.mobius.mqy,.dis
Mobius Management Systems - Policy Definition Language File,application/vnd.mobius.msl,.plc
Mobius Management Systems - Query File,application/vnd.mobius.txf,.mqy
Mobius Management Systems - Script Language,application/vnd.mobius.daf,.msl
Mobius Management Systems - Topic Index File,text/vnd.fly,.txf
Mobius Management Systems - UniversalArchive,application/vnd.mophun.certificate,.daf
mod_fly / fly.cgi,application/vnd.mophun.application,.fly
Mophun Certificate,video/mj2,.mpc
Mophun VM,audio/mpeg,.mpn
Motion JPEG 2000,video/mp2t,.mj2
MPEG Audio,video/vnd.mpegurl,.mpga
MPEG Transport Stream,video/mpeg,.ts
MPEG Url,application/mp21,.mxu
MPEG Video,audio/mp4,.mpeg
MPEG-21,video/mp4,.m21
MPEG-4 Audio,application/mp4,.mp4a
MPEG-4 Video,application/vnd.apple.mpegurl,.mp4
MPEG4,application/vnd.musician,.mp4
Multimedia Playlist Unicode,application/vnd.muvee.style,.m3u8
MUsical Score Interpreted Code Invented for the ASCII designation of Notation,application/xv+xml,.mus
Muvee Automatic Video Editing,application/vnd.nokia.n-gage.data,.msty
MXML,application/vnd.nokia.n-gage.symbian.install,.mxml
N-Gage Game Data,application/x-dtbncx+xml,.ngdat
N-Gage Game Installer,application/x-netcdf,.n-gage
Navigation Control file for XML (for ePub),application/vnd.neurolanguage.nlu,.ncx
Network Common Data Form (NetCDF),application/vnd.dna,.nc
neuroLanguage,application/vnd.noblenet-directory,.nlu
New Moon Liftoff/DNA,application/vnd.noblenet-sealer,.dna
NobleNet Directory,application/vnd.noblenet-web,.nnd
NobleNet Sealer,application/vnd.nokia.radio-preset,.nns
NobleNet Web,application/vnd.nokia.radio-presets,.nnw
Nokia Radio Application - Preset,text/n3,.rpst
Nokia Radio Application - Preset,application/vnd.novadigm.edm,.rpss
Notation3,application/vnd.novadigm.edx,.n3
Novadigm's RADIA and EDM products,application/vnd.novadigm.ext,.edm
Novadigm's RADIA and EDM products,application/vnd.flographit,.edx
Novadigm's RADIA and EDM products,audio/vnd.nuera.ecelp4800,.ext
NpGraphIt,audio/vnd.nuera.ecelp7470,.gph
Nuera ECELP 4800,audio/vnd.nuera.ecelp9600,.ecelp4800
Nuera ECELP 7470,application/oda,.ecelp7470
Nuera ECELP 9600,application/ogg,.ecelp9600
Office Document Architecture,audio/ogg,.oda
Ogg,video/ogg,.ogx
Ogg Audio,application/vnd.oma.dd2+xml,.oga
Ogg Video,application/vnd.oasis.opendocument.text-web,.ogv
OMA Download Agents,application/oebps-package+xml,.dd2
Open Document Text Web,application/vnd.intu.qbo,.oth
Open eBook Publication Structure,application/vnd.openofficeorg.extension,.opf
Open Financial Exchange,application/vnd.yamaha.openscoreformat,.qbo
Open Office Extension,audio/webm,.oxt
Open Score Format,video/webm,.osf
Open Web Media Project - Audio,application/vnd.oasis.opendocument.chart,.weba
Open Web Media Project - Video,application/vnd.oasis.opendocument.chart-template,.webm
OpenDocument Chart,application/vnd.oasis.opendocument.database,.odc
OpenDocument Chart Template,application/vnd.oasis.opendocument.formula,.otc
OpenDocument Database,application/vnd.oasis.opendocument.formula-template,.odb
OpenDocument Formula,application/vnd.oasis.opendocument.graphics,.odf
OpenDocument Formula Template,application/vnd.oasis.opendocument.graphics-template,.odft
OpenDocument Graphics,application/vnd.oasis.opendocument.image,.odg
OpenDocument Graphics Template,application/vnd.oasis.opendocument.image-template,.otg
OpenDocument Image,application/vnd.oasis.opendocument.presentation,.odi
OpenDocument Image Template,application/vnd.oasis.opendocument.presentation-template,.oti
OpenDocument Presentation,application/vnd.oasis.opendocument.spreadsheet,.odp
OpenDocument Presentation Template,application/vnd.oasis.opendocument.spreadsheet-template,.otp
OpenDocument Spreadsheet,application/vnd.oasis.opendocument.text,.ods
OpenDocument Spreadsheet Template,application/vnd.oasis.opendocument.text-master,.ots
OpenDocument Text,application/vnd.oasis.opendocument.text-template,.odt
OpenDocument Text Master,image/ktx,.odm
OpenDocument Text Template,application/vnd.sun.xml.calc,.ott
OpenGL Textures (KTX),application/vnd.sun.xml.calc.template,.ktx
OpenOffice - Calc (Spreadsheet),application/vnd.sun.xml.draw,.sxc
OpenOffice - Calc Template (Spreadsheet),application/vnd.sun.xml.draw.template,.stc
OpenOffice - Draw (Graphics),application/vnd.sun.xml.impress,.sxd
OpenOffice - Draw Template (Graphics),application/vnd.sun.xml.impress.template,.std
OpenOffice - Impress (Presentation),application/vnd.sun.xml.math,.sxi
OpenOffice - Impress Template (Presentation),application/vnd.sun.xml.writer,.sti
